"","X","plt","entropyRank.rank","entropyRank.score","topRank.rank","topRank.score","vine","verified_purchase","two_sides"
"1",1,"R9T1FE2ZX2X04",21880,0.03169468,21885,0.000829489,"N","y","0"
"2",2,"RE36JAD5V53PO",10266.5,0.043907755,10309.5,0.001142436,"N","y","1"
"3",3,"RIDHM8B7SCCV3",21515,0.032156108,21520,0.000841319,"N","y","0"
"4",4,"R14QGWPCHU9LSE",31318,0,31318,0,"N","y","1"
"5",5,"R35BHQJHXXJD59",16705.5,0.028908913,16729.5,0.001014297,"N","n","1"
"6",6,"R230LCPQDOFJJZ",24633.5,0.027926159,24638.5,0.000732766,"N","y","0"
"7",7,"R21NN9ONVZITI0",29482,0.00170208,29482,0.000311714,"N","n","1"
"8",8,"RYOOYLVIAHU2A",4343,0.339083981,5201,0.015568384,"N","y","1"
"9",9,"R18NK8BQ5LPMZZ",24633.5,0.027926159,24638.5,0.000732766,"N","y","0"
"10",10,"RD0BGSERMZ2JS",24093.5,0.029086122,24098.5,0.000762562,"N","y","1"
"11",11,"R2NEOR5Y0P7U8V",17808.5,0.027681133,17828.5,0.000982851,"N","n","1"
"12",12,"R3N0F2FKJOMGKK",2764.5,0.35413496,1776.5,0.015989482,"N","y","1"
"13",13,"R2M6U66CT3H5OY",29905,0.008103054,29905,0.000216728,"N","y","1"
"14",14,"R2WDYCZI91LL6K",27390,0.021149155,27391,0.000558039,"N","y","1"
"15",15,"R1DZKVY1CJF3QP",2237,0.356953232,3883,0.015591727,"N","y","1"
"16",16,"R3IL7ENAGVGJ3I",24993,0.02728733,24998,0.000716344,"N","y","1"
"17",17,"R1PEMP08D31OPZ",29905,0.008103054,29905,0.000216728,"N","y","1"
"18",18,"R35ZY5QEANBM8D",11427.5,0.043135656,11466.5,0.001122626,"N","y","1"
"19",19,"RWMEEVC97HUNG",31318,0,31318,0,"N","y","1"
"20",20,"R3GR9RB60NKBG0",24633.5,0.027926159,24638.5,0.000732766,"N","y","0"
"21",21,"R2S51H4FUT53NR",26897,0.022019853,26899,0.000580562,"N","y","0"
"22",22,"RTYQK30NMOCM6",27634.5,0.020333138,27635.5,0.000536907,"N","y","1"
"23",23,"R3GELVX38EM91L",17474.5,0.038054601,17495.5,0.000992416,"N","y","1"
"24",24,"ROMFVXSLZP6HW",11810,0.042869523,11848,0.0011158,"N","y","1"
"25",25,"R1MNTJKIK8FETW",18682.5,0.036720684,18693.5,0.000958255,"N","y","0"
"26",26,"R1PVX4QFWHMCWO",11844.5,0.042857596,11882.5,0.001115494,"N","y","1"
"27",27,"RSJM2TUS1RV7B",18200.5,0.037228462,18213.5,0.000971258,"N","y","1"
"28",28,"R3QWLLEFDJAE1S",31318,0,31318,0,"N","y","1"
"29",29,"REOAJPZWKR6K9",11683,0.052964904,11721,0.001118246,"Y","n","1"
"30",30,"R3KD277RB5OGGF",22498,0.030754407,22503,0.000805376,"N","y","1"
"31",31,"R1CH89SEVYIHW0",10565.5,0.043710128,10605.5,0.001137364,"N","y","1"
"32",32,"R3N3KZ7ZP8HJQV",16179,0.039454173,16204,0.001028264,"N","y","1"
"33",33,"R1PCG4HG8GZJBE",15364.5,0.040139134,15393.5,0.001045812,"N","y","0"
"34",34,"R38Q9W9BNZN2C4",25362.5,0.026058632,25367.5,0.000684736,"N","y","1"
"35",35,"R1WXXPRNQWE7Y6",24633.5,0.027926159,24638.5,0.000732766,"N","y","0"
"36",36,"R3SS843K1CWOIY",23162,0.030236537,23167,0.00079209,"N","y","0"
"37",37,"R1CBKQKQYW50UX",15616,0.039880094,15645,0.001039175,"N","y","0"
"38",38,"R3DTN85N6X9SIS",13877,0.041399891,13911,0.00107812,"N","y","1"
"39",39,"R3LY7MANJ71HBW",265,0.365796026,203,0.047853252,"N","y","1"
"40",40,"R24QP0W6EEOHUS",23604,0.029695062,23609,0.000778194,"N","y","1"
"41",41,"RLQUFMAV4PDJV",3164,0.351565982,2459,0.015739586,"N","y","1"
"42",42,"RO9KNA385PZML",24011,0.029129705,24016,0.000763681,"N","y","0"
"43",43,"R2XSDRSLLGC750",28317.5,0.017383871,28321.5,0.000460323,"N","y","0"
"44",44,"R1GNASF5UI5MFK",19043,0.036310739,19053,0.000947756,"N","y","1"
"45",45,"RP1Z1HVOLQD34",13539,0.031648438,13574,0.001084491,"N","n","1"
"46",46,"R20ZGQIMYDIS4H",13073,0.041984564,13108,0.001093107,"N","y","1"
"47",47,"R17M5MZ51QMVCK",23503.5,0.030080805,23508.5,0.000788094,"N","y","0"
"48",48,"R3F0HVXSBUC4ZA",24633.5,0.027926159,24638.5,0.000732766,"N","y","1"
"49",49,"RVQC05SNQCV7U",21754,0.031733189,21759,0.000830477,"N","y","1"
"50",50,"R2CNQVPGS12Q9U",26246.5,0.023617318,26249.5,0.000621822,"N","y","1"
"51",51,"R2DCN3LVLN029S",31318,0,31318,0,"N","y","1"
"52",52,"R2AVR4LDQJ9ZC3",12505.5,0.052391771,12542.5,0.001103548,"Y","n","1"
"53",53,"R3U2Q8FK78NL25",24011,0.029129705,24016,0.000763681,"N","y","1"
"54",54,"R1VR5BNNT6O42J",11062,0.043373614,11101,0.00112873,"N","y","1"
"55",55,"R1NRG8W14M4CLG",19158,0.03616969,19167,0.000944144,"N","y","1"
"56",56,"R3L5SKZ80SISVL",4492.5,0.337238846,5292.5,0.015566699,"N","y","1"
"57",57,"R3TK7ALY9OX6AU",26449,0.022862051,26452,0.000602325,"N","y","0"
"58",58,"R14H2YRC78LPRI",27390,0.021149155,27391,0.000558039,"N","y","1"
"59",59,"R325ASXFQ8D66J",26897,0.022019853,26899,0.000580562,"N","y","1"
"60",60,"RXTB7K8FZ2CUI",29958,0.007949311,29958,0.000212654,"N","y","1"
"61",61,"R2SACSUOBNV12T",8821.5,0.035119942,8866.5,0.001173554,"N","n","1"
"62",62,"R2RBWYAKZAUX1M",14381,0.030978074,14411,0.001067309,"N","n","1"
"63",63,"R2B9QSQYIMD9IQ",19586,0.03557083,19591,0.000928806,"N","y","1"
"64",64,"R2CWOY8AIVXR78",19663.5,0.035483294,19668.5,0.000926565,"N","y","0"
"65",65,"RH1COQMQTTTQK",600,0.371851624,2831,0.015600378,"Y","n","1"
"66",66,"RGCXNOF41RJUV",26897,0.022019853,26899,0.000580562,"N","y","1"
"67",67,"R27KFIYH6UN3Z9",31318,0,31318,0,"N","y","1"
"68",68,"R2MAVSNJJ62S54",3254,0.350892278,2474,0.015738649,"N","y","1"
