index,sales,star_rating,neg,pos,neu,helpness,vine_Y,veri_y,two_sides,rate_exp_num,rate_exp_txt
723849,2,3.0,0.09449999999999999,0.23050000000000004,0.675,0.06963997602966955,0.0,2.0,2.0,0.9407420711060949,0.8901464767111171
1006724,1,5.0,0.0,0.248,0.752,0.04859535140769046,0.0,1.0,1.0,1.7928841324130895,1.7755345164343068
1398002,1,5.0,0.0,0.804,0.196,0.0403116269994537,0.0,1.0,0.0,1.8453341567908965,1.7721835516782403
1439995,6,4.0,0.06116666666666667,0.32833333333333337,0.6103333333333334,0.09269626068056093,0.0,6.0,5.0,1.4557201193813352,1.3426139902435064
1448183,2,5.0,0.006999999999999999,0.3255,0.6675,0.20840515169545887,0.0,1.0,2.0,1.7865692723183721,1.779395337549598
1696639,1,5.0,0.0,0.8079999999999999,0.192,0.0408304634558368,0.0,1.0,0.0,1.7865703519713414,1.7721852746949307
1892472,1,5.0,0.0,0.561,0.439,0.054336506675772216,0.0,1.0,0.0,1.9091216917570617,1.772230127716028
2143250,2,5.0,0.06849999999999999,0.2265,0.7050000000000001,0.04239582080645738,0.0,2.0,2.0,1.8565140837450036,1.7788423073249322
2332208,1,5.0,0.0,0.56,0.44,0.0506413946501879,0.0,1.0,0.0,1.7711487733018008,1.7722178563087942
2341622,1,5.0,0.0,0.424,0.5760000000000001,0.05158823436450366,0.0,1.0,1.0,1.8382466262062396,1.7755444706260093
2775015,1,5.0,0.0,0.157,0.843,0.04298536847931042,0.0,0.0,1.0,1.7685803612693893,1.7755158580082253
3090006,1,2.0,0.0,0.0,1.0,0.010018662142682336,0.0,1.0,1.0,0.46527467429504343,0.44434245031977027
3146962,1,5.0,0.0,0.369,0.631,0.0403116269994537,0.0,1.0,1.0,1.818103889330286,1.7755069653790256
3179934,1,1.0,0.0,0.1,0.9,0.02415200084975888,0.0,1.0,1.0,0.011399718300364528,0.0006639292854802165
3729223,1,1.0,0.15,0.282,0.569,0.3657350986662193,0.0,1.0,1.0,0.013762070364703866,0.0008911965836278651
3916839,1,5.0,0.0,0.171,0.8290000000000001,0.3589027347623457,0.0,0.0,1.0,1.7621414718565438,1.7765668223633817
4145037,1,5.0,0.0,0.205,0.795,0.03368005511851134,0.0,1.0,1.0,1.7359559547171353,1.7754849095075582
4569674,1,5.0,0.0,0.489,0.511,0.05323879392451737,0.0,1.0,1.0,1.8229310589940035,1.7755499603306517
4649401,2,5.0,0.036000000000000004,0.183,0.7815000000000001,0.03268674834824471,0.0,0.0,2.0,1.7397749797542106,1.7788099675564157
4792175,14,5.0,0.0077857142857142864,0.5630714285714286,0.42907142857142855,0.05426405886734358,0.0,13.0,6.0,1.7453228459510697,1.792245727804369
5180901,1,4.0,0.142,0.266,0.5920000000000001,0.048164813428235684,0.0,1.0,1.0,1.439905362923679,1.3318197888800047
5471085,2,5.0,0.0,0.249,0.7509999999999999,0.046688467382354874,0.0,2.0,2.0,1.7901094454977773,1.7788566057714812
5645959,1,4.0,0.015,0.17,0.815,0.0548412929603664,0.0,1.0,1.0,1.3641043961757497,1.3318375534498132
5747909,1,5.0,0.0,0.41700000000000004,0.583,0.37593727965643264,0.0,1.0,1.0,1.7096560796778992,1.7766235054387236
5749221,1,5.0,0.0,0.237,0.763,0.051857155293737536,0.0,1.0,1.0,1.766262855987839,1.775545365046896
5848633,1,4.0,0.048,0.162,0.79,0.053473220599994,0.0,1.0,1.0,1.3664095855209166,1.3318339133107948
5981131,1,5.0,0.0,0.371,0.629,0.36508860842427904,0.0,0.0,1.0,1.7241949498170155,1.7765874059183702
6156155,1,3.0,0.032,0.061,0.9059999999999999,0.04517498516150978,0.0,1.0,1.0,0.9340373397764499,0.8881005268830798
6744486,1,4.0,0.0,0.318,0.682,0.048222288489215816,0.0,1.0,1.0,1.3289863898531662,1.3318199418071068
6784496,1,5.0,0.0,0.28600000000000003,0.7140000000000001,0.3552534410843385,0.0,0.0,1.0,1.7798093613333867,1.7765546793925684
7090204,1,5.0,0.0,0.462,0.5379999999999999,0.21412252316054706,0.0,1.0,1.0,1.7625312985494705,1.7760851193076514
7291342,1,5.0,0.0,0.242,0.758,0.05406375461013497,0.0,1.0,1.0,1.9281606222556655,1.7755527041267682
7320905,1,5.0,0.0,0.314,0.6859999999999999,0.05244559840908935,0.0,1.0,1.0,1.8011280218638013,1.7755473221878015
7601352,1,4.0,0.08,0.12300000000000001,0.797,0.02982939935569703,0.0,1.0,1.0,1.3053655357259353,1.331771003493173
7696649,1,5.0,0.0,0.48100000000000004,0.519,0.03799693733906509,0.0,1.0,1.0,1.8571722082970212,1.7754992669534113
8209101,1,5.0,0.0,0.17800000000000002,0.8220000000000001,0.04919201082786547,0.0,1.0,1.0,1.722634254518995,1.7755365008926594
8965892,1,5.0,0.0,1.0,0.0,0.04177249120672544,0.0,1.0,0.0,1.8158970634948843,1.7721884031013762
8985698,1,1.0,0.564,0.0,0.436,0.04583111736389619,0.0,1.0,0.0,0.010819964234729113,1.3661468757017459e-05
9402987,1,3.0,0.0,0.12300000000000001,0.877,0.031207285997504417,0.0,1.0,1.0,0.8672868873278119,0.8880726538235666
9547884,1,5.0,0.021,0.19699999999999998,0.782,0.05288452801995483,0.0,1.0,1.0,1.8150973577318128,1.775548782053225
9868485,1,1.0,0.064,0.099,0.8370000000000001,0.35074790745563805,0.0,1.0,1.0,0.04591758007205647,0.000881222634753695
10036436,2,3.5,0.0275,0.437,0.5355,0.15306834722697688,0.0,2.0,1.0,1.1498560263851854,1.1102073926216263
10847162,1,5.0,0.0,0.727,0.273,0.0493510039904712,0.0,1.0,0.0,1.7943761798019362,1.7722135709583116
11017163,1,5.0,0.0,0.633,0.36700000000000005,0.04706451986961288,0.0,1.0,0.0,1.7821709566777513,1.7722059776302868
11249887,1,4.0,0.0,0.25,0.75,0.05150385218260692,0.0,1.0,1.0,1.2839031258930624,1.3318286732686069
11705892,1,4.0,0.0,0.14300000000000002,0.857,0.045960331055149004,0.0,1.0,1.0,1.3227947605372954,1.3318139233006794
11769713,1,5.0,0.0,0.28800000000000003,0.7120000000000001,0.04799225900455362,0.0,1.0,1.0,1.7717258030238359,1.7755325105819892
11983253,1,5.0,0.040999999999999995,0.444,0.515,0.05489247429778851,0.0,1.0,1.0,1.8731513109398226,1.7755554604286354
12142513,1,4.0,0.0,0.17300000000000001,0.8270000000000001,0.363119020598191,0.0,1.0,1.0,1.3788221306495316,1.3326580029492612
12164460,1,4.0,0.04,0.268,0.6920000000000001,0.0534057088432793,0.0,1.0,1.0,1.2695447618231983,1.3318337336770836
12385606,1,5.0,0.012,0.307,0.68,0.04562790282845888,0.0,0.0,1.0,1.8205539570161435,1.7755246468802737
12506064,1,2.0,0.042,0.10400000000000001,0.8540000000000001,0.21289533422909124,0.0,1.0,1.0,0.4673839282022784,0.44461237856128266
12750540,1,5.0,0.0,0.183,0.8170000000000001,0.04775364853576621,0.0,1.0,1.0,1.757644799513232,1.7755317169771334
13080377,1,5.0,0.0,0.168,0.8320000000000001,0.0491797740339244,0.0,1.0,1.0,1.8429037731039741,1.775536460193698
13447048,3,4.666666666666667,0.0,0.24933333333333332,0.7506666666666666,0.04520509725244582,0.0,2.0,3.0,1.7224742727811133,1.6338371840222816
13588167,1,2.0,0.07,0.172,0.759,0.3514410435866485,0.0,1.0,1.0,0.5025434035445462,0.44479676137478663
13629162,1,5.0,0.0,0.5770000000000001,0.423,0.0403116269994537,0.0,1.0,0.0,1.7471384765205153,1.7721835516782403
13897818,1,5.0,0.11900000000000001,0.0,0.8809999999999999,0.021558562954440627,0.0,0.0,1.0,1.778661169754209,1.7754445953377151
13950345,1,5.0,0.0,0.46299999999999997,0.537,0.054115177397314716,0.0,1.0,1.0,1.82406891072589,1.7755528751576288
13998191,1,5.0,0.0,0.099,0.9009999999999999,0.3184198567671547,0.0,1.0,1.0,1.8675816269610945,1.7764321199038702
14166991,1,5.0,0.0,1.0,0.0,0.036633880320961314,0.0,1.0,0.0,1.7705154787418544,1.772171338197679
14485891,3,2.3333333333333335,0.07166666666666666,0.125,0.803,0.2224994248002202,0.0,1.0,3.0,0.6189703907921275,0.5956779368506833
14656476,1,5.0,0.0,0.369,0.631,0.04967256898180002,0.0,1.0,1.0,1.7299574215359657,1.7755380992054999
14660535,1,5.0,0.0,0.187,0.813,0.03735691614727033,0.0,1.0,1.0,1.7242077415249466,1.7754971383118452
14669354,1,5.0,0.016,0.222,0.763,0.05381036260722225,0.0,1.0,1.0,1.8564922217121853,1.7755518613517078
14755905,1,5.0,0.071,0.19399999999999998,0.736,0.3635014569769663,0.0,1.0,1.0,1.8936906238883247,1.776582124638233
14775442,1,4.0,0.044000000000000004,0.228,0.728,0.20282614096015986,0.0,0.0,1.0,1.3543130114999982,1.3322313525978653
